,epochs,Decay,Modes,Loss,Modes_truncated,Loss_truncated,epochs_truncated
157,157.0,0.004818154036119944,1.0,0.0258875667829075,2.0,0.03705350367182987,678.0
158,158.0,0.004735577209256312,1.0,0.026014779602021434,2.0,0.037055891172802606,679.0
159,159.0,0.004657839757244116,1.0,0.02614042550802425,2.0,0.0370581339804173,680.0
160,160.0,0.004581668033466656,1.0,0.026264509315525732,2.0,0.037060644797337554,681.0
161,161.0,0.004503305532202856,1.0,0.02638713076675541,2.0,0.03706322223485693,682.0
162,162.0,0.004431113928474006,1.0,0.026508305431327928,2.0,0.03706561776328939,683.0
163,163.0,0.0043583484959556044,1.0,0.026627949827461653,2.0,0.03706816830093569,684.0
164,164.0,0.004286729410517183,1.0,0.02674620330414263,2.0,0.03707071204376882,685.0
165,165.0,0.0042172024244576615,1.0,0.026863027158620992,2.0,0.03707291118165526,686.0
166,166.0,0.004149921062116277,1.0,0.026978429035507213,2.0,0.03707515525161978,687.0
167,167.0,0.00408214434610137,1.0,0.027092442941704632,2.0,0.03707765649499143,688.0
168,168.0,0.004016909562982724,1.0,0.02720510821729266,2.0,0.03708011167675798,689.0
169,169.0,0.003953653942243089,1.0,0.02731639053122127,2.0,0.0370825003818821,690.0
170,170.0,0.0038896791076124594,1.0,0.027426338827754193,2.0,0.03708491361567317,691.0
171,171.0,0.003828808430596355,1.0,0.027534987860720592,2.0,0.03708722365188729,692.0
172,172.0,0.003768565036333022,1.0,0.02764229883034909,2.0,0.03708948035704527,693.0
173,173.0,0.0037090410618112715,1.0,0.027748338900709484,2.0,0.03709181933547056,694.0
174,174.0,0.003651209767789265,1.0,0.027853107734589145,2.0,0.03709412298925753,695.0
175,175.0,0.0035947730066752323,1.0,0.027956607998239683,2.0,0.03709627669915522,696.0
176,176.0,0.003538570583457908,1.0,0.028058870128681884,2.0,0.03709830563800149,697.0
177,177.0,0.003484234647175014,1.0,0.02815991701793322,2.0,0.037100142707952886,698.0
178,178.0,0.003430913725882237,1.0,0.02825973948635065,2.0,0.03710182274920353,699.0
179,179.0,0.0033779830221371734,1.0,0.028358374884224487,2.0,0.03710388933812832,700.0
180,180.0,0.0033266971280679417,1.0,0.028455837214281462,2.0,0.03710676377447767,701.0
181,181.0,0.0032758377919295143,1.0,0.02855212317544304,2.0,0.037109829673422294,702.0
182,182.0,0.003226329791868553,1.0,0.028647265696787286,2.0,0.037112233768791386,703.0
183,183.0,0.0031783594584902206,1.0,0.0287412634530935,2.0,0.03711404609829611,704.0
184,184.0,0.0031324257607410737,1.0,0.028834142076162476,2.0,0.03711621226276245,705.0
185,185.0,0.0030847803752869635,1.0,0.028925933216978006,2.0,0.03711893190821105,706.0
186,186.0,0.0030376971237361036,1.0,0.029016683689899934,2.0,0.03712133542729117,707.0
187,187.0,0.0029940398773599113,1.0,0.02910633205906739,2.0,0.037123278577913296,708.0
188,188.0,0.0029507220257787453,1.0,0.02919488277537384,2.0,0.03712550687376828,709.0
